X=4.437 Y=16.388 Z=155.746
X=2.201 Y=17.427 Z=156.978
X=0.211 Y=18.368 Z=158.064
X=-1.420 Y=19.269 Z=159.233
X=-2.829 Y=20.017 Z=160.415
X=-3.586 Y=20.729 Z=161.244
X=-3.922 Y=21.252 Z=161.515
X=-3.851 Y=21.312 Z=161.709
X=-1.993 Y=21.535 Z=160.958
X=1.517 Y=21.981 Z=159.466
X=3.933 Y=23.117 Z=158.194
X=5.383 Y=24.054 Z=157.107
X=6.532 Y=24.825 Z=155.348
X=7.124 Y=24.756 Z=154.119
X=7.162 Y=24.006 Z=152.851
X=7.183 Y=22.772 Z=151.826
X=7.218 Y=21.524 Z=151.173
X=7.526 Y=21.014 Z=150.851
X=7.947 Y=21.148 Z=150.724
X=8.156 Y=21.520 Z=150.610
X=8.349 Y=21.791 Z=150.309
X=8.293 Y=21.910 Z=150.276
X=8.295 Y=24.168 Z=150.844
X=8.276 Y=26.426 Z=151.424
X=8.318 Y=28.190 Z=152.281
X=8.658 Y=28.834 Z=153.592
X=7.057 Y=26.682 Z=154.375
X=3.951 Y=23.189 Z=154.999
X=-1.145 Y=20.957 Z=156.297
X=-5.169 Y=19.874 Z=157.083
X=-6.675 Y=19.471 Z=157.018
X=-6.655 Y=19.546 Z=156.937
X=-6.568 Y=19.893 Z=157.779
X=-6.616 Y=20.905 Z=158.831
X=-6.816 Y=21.317 Z=159.015
X=-6.591 Y=22.455 Z=158.776
X=-5.058 Y=27.645 Z=158.454
X=-3.057 Y=37.132 Z=157.426
X=-1.374 Y=48.254 Z=159.105
X=0.163 Y=55.551 Z=159.761
X=1.669 Y=58.293 Z=159.296
X=2.460 Y=58.572 Z=159.581
X=2.773 Y=59.019 Z=159.543
X=2.830 Y=59.845 Z=159.513
X=2.846 Y=60.894 Z=159.455
X=2.600 Y=62.035 Z=159.057
X=2.147 Y=62.971 Z=158.161
X=2.028 Y=63.382 Z=155.811
X=2.040 Y=63.556 Z=155.653
X=2.535 Y=62.367 Z=156.301
X=3.556 Y=56.579 Z=156.851
X=5.982 Y=49.845 Z=157.972
X=6.201 Y=44.651 Z=158.631
X=5.489 Y=42.682 Z=158.968
X=5.426 Y=46.142 Z=158.767
X=5.638 Y=55.420 Z=157.961
X=5.747 Y=68.262 Z=158.759
X=5.733 Y=76.846 Z=160.459
X=6.403 Y=82.079 Z=160.230
X=8.890 Y=83.171 Z=159.935
X=13.071 Y=81.979 Z=158.239
X=15.804 Y=79.947 Z=156.582
X=17.758 Y=77.140 Z=154.843
X=19.028 Y=73.146 Z=154.120
X=17.263 Y=65.932 Z=153.683
X=15.718 Y=57.350 Z=153.133
X=15.314 Y=45.979 Z=152.547
X=15.023 Y=37.743 Z=152.007
X=14.730 Y=38.458 Z=152.185
X=10.177 Y=42.337 Z=154.523
X=5.533 Y=46.016 Z=156.453
X=0.822 Y=49.913 Z=157.956
X=-0.394 Y=51.974 Z=158.105
X=-0.551 Y=50.321 Z=157.833
X=2.875 Y=40.694 Z=156.002
X=5.048 Y=26.966 Z=153.587
X=7.162 Y=14.505 Z=151.840
X=7.428 Y=6.172 Z=151.478
X=6.487 Y=2.675 Z=150.850
X=5.703 Y=1.896 Z=150.560
X=5.758 Y=0.866 Z=150.083
X=6.827 Y=1.201 Z=149.866
X=8.201 Y=3.268 Z=150.138
X=9.098 Y=4.732 Z=150.954
X=10.045 Y=6.121 Z=151.390
X=10.481 Y=7.359 Z=152.423
X=9.903 Y=8.313 Z=153.618
X=8.157 Y=9.493 Z=155.428
X=7.088 Y=9.512 Z=156.354
X=4.843 Y=10.391 Z=157.052
X=1.851 Y=12.806 Z=157.992
X=-0.836 Y=15.741 Z=158.729
X=-3.414 Y=19.182 Z=158.925
X=-5.327 Y=21.332 Z=157.470
X=-5.172 Y=19.820 Z=157.679
X=-3.152 Y=17.654 Z=158.777
X=-1.750 Y=15.282 Z=159.388
X=-0.779 Y=15.217 Z=158.889
X=0.281 Y=20.146 Z=158.391
X=1.010 Y=30.540 Z=157.420
X=1.354 Y=43.834 Z=158.094
X=2.017 Y=52.404 Z=159.787
X=3.126 Y=56.326 Z=159.478
X=4.086 Y=57.795 Z=159.793
X=4.904 Y=58.438 Z=159.639
X=5.322 Y=58.786 Z=159.553
X=5.535 Y=58.989 Z=159.578
X=6.042 Y=59.389 Z=159.521
X=6.916 Y=55.399 Z=158.777
X=7.566 Y=46.883 Z=157.540
X=8.963 Y=37.263 Z=156.784
X=8.734 Y=30.074 Z=157.528
X=7.172 Y=25.524 Z=158.083
X=5.300 Y=23.915 Z=158.156
X=4.464 Y=25.065 Z=157.760
X=4.806 Y=31.482 Z=156.844
X=6.007 Y=42.432 Z=155.382
X=7.554 Y=58.503 Z=156.999
X=8.790 Y=67.638 Z=160.147
X=9.494 Y=72.500 Z=159.380
X=11.491 Y=74.457 Z=158.773
X=15.807 Y=73.820 Z=156.951
X=19.893 Y=69.526 Z=154.483
X=20.157 Y=61.063 Z=154.083
X=19.779 Y=49.497 Z=153.086
X=20.663 Y=37.074 Z=151.670
X=21.933 Y=26.579 Z=151.191
X=22.186 Y=21.400 Z=151.363
X=21.288 Y=20.837 Z=151.830
X=21.391 Y=20.614 Z=151.300
X=20.576 Y=17.530 Z=151.054
X=20.146 Y=13.605 Z=151.324
X=20.077 Y=10.278 Z=151.256
X=19.756 Y=8.079 Z=150.983
X=19.401 Y=7.135 Z=150.909
X=18.425 Y=6.674 Z=151.031
X=17.805 Y=5.630 Z=151.237
X=17.516 Y=4.101 Z=151.539
X=18.141 Y=2.808 Z=151.965
X=18.527 Y=2.168 Z=152.299
X=17.613 Y=3.460 Z=153.121
X=16.079 Y=5.779 Z=153.273
X=15.093 Y=6.727 Z=152.675
X=14.456 Y=7.164 Z=152.051
X=13.477 Y=8.629 Z=151.137
X=12.485 Y=11.811 Z=150.851
X=12.685 Y=15.406 Z=150.636
X=12.948 Y=17.762 Z=150.272
X=13.162 Y=18.955 Z=150.600
X=12.689 Y=18.899 Z=151.514
X=12.971 Y=18.113 Z=152.294
X=12.407 Y=17.031 Z=152.536
X=7.440 Y=15.446 Z=154.616
X=1.695 Y=16.193 Z=156.884
X=-3.043 Y=17.895 Z=158.126
X=-5.375 Y=16.949 Z=158.811
X=-5.004 Y=14.473 Z=159.653
X=-3.286 Y=12.366 Z=160.084
X=-1.486 Y=11.183 Z=160.054
X=-0.338 Y=10.873 Z=159.751
X=1.220 Y=13.044 Z=158.875
X=2.584 Y=21.080 Z=157.986
X=2.384 Y=33.339 Z=156.800
X=2.368 Y=44.805 Z=159.037
X=3.170 Y=51.191 Z=159.710
X=4.270 Y=53.580 Z=159.806
X=4.963 Y=55.001 Z=159.718
X=5.254 Y=55.784 Z=159.691
X=5.574 Y=56.139 Z=159.700
X=5.723 Y=56.206 Z=159.653
X=5.980 Y=56.611 Z=159.574
X=5.593 Y=53.626 Z=159.309
X=4.768 Y=45.058 Z=158.799
X=4.673 Y=34.670 Z=157.029
X=4.273 Y=26.253 Z=157.452
X=2.536 Y=20.420 Z=158.186
X=0.644 Y=17.225 Z=158.595
X=-0.387 Y=16.116 Z=158.988
X=-0.291 Y=16.612 Z=158.530
X=0.911 Y=21.129 Z=157.800
X=2.115 Y=29.456 Z=156.758
X=3.806 Y=44.485 Z=155.001
X=5.304 Y=59.283 Z=158.187
X=7.409 Y=67.082 Z=159.260
